Date,Shop_ID,Shop_Name,City,Product_ID,Product_Name,Category,Supplier_Name,Quantity_Stocked,Quantity_Sold,Price_per_Unit (₹),Revenue (₹),Wastage_Units,Storage_Type,Feedback_Score
2024-01-05,KIR002,Annapurna Kirana Store,Bangalore,106,Spinach,Vegetables,Organic Farm Co-op,40,30,35.0,1050.0,10,Ambient,4
2024-01-05,KIR002,Annapurna Kirana Store,Bangalore,107,Basmati Rice 5kg,Grocery,India Gate,16,12,420.0,5040.0,4,Ambient,4
2024-01-05,KIR002,Annapurna Kirana Store,Bangalore,108,Sunflower Oil 1L,Grocery,Fortune,26,26,155.0,4030.0,0,Ambient,4
2024-01-05,KIR002,Annapurna Kirana Store,Bangalore,109,Chips (Large),Snacks,Lays,43,41,20.0,820.0,2,Ambient,5
2024-01-05,KIR002,Annapurna Kirana Store,Bangalore,110,Cold Drink 500ml,Beverages,Coca-Cola,22,18,40.0,720.0,4,Refrigerated,3
2024-01-06,KIR002,Annapurna Kirana Store,Bangalore,101,Milk,Dairy,Nandini Dairy,50,34,42.0,1428.0,16,Refrigerated,3
2024-01-06,KIR002,Annapurna Kirana Store,Bangalore,102,Bread (Loaf),Bakery,Britannia,31,25,38.0,950.0,6,Ambient,4
2024-01-06,KIR002,Annapurna Kirana Store,Bangalore,103,Chicken,Meat,Licious Local Agent,22,12,240.0,2880.0,10,Ice Box,3
2024-01-06,KIR002,Annapurna Kirana Store,Bangalore,104,Eggs (Dozen),Dairy,NECC,66,57,72.0,4104.0,9,Refrigerated,3
2024-01-06,KIR002,Annapurna Kirana Store,Bangalore,105,Banana,Fruits,KR Market Supplier,31,17,25.0,425.0,14,Ambient,3
2024-01-06,KIR002,Annapurna Kirana Store,Bangalore,106,Spinach,Vegetables,Organic Farm Co-op,58,35,35.0,1225.0,23,Ambient,2
2024-01-06,KIR002,Annapurna Kirana Store,Bangalore,107,Basmati Rice 5kg,Grocery,India Gate,42,39,420.0,16380.0,3,Ambient,4
2024-01-06,KIR002,Annapurna Kirana Store,Bangalore,108,Sunflower Oil 1L,Grocery,Fortune,35,33,155.0,5115.0,2,Ambient,4
2024-01-06,KIR002,Annapurna Kirana Store,Bangalore,109,Chips (Large),Snacks,Lays,41,38,20.0,760.0,3,Ambient,5
2024-01-06,KIR002,Annapurna Kirana Store,Bangalore,110,Cold Drink 500ml,Beverages,Coca-Cola,23,15,40.0,600.0,8,Refrigerated,3
2024-01-07,KIR002,Annapurna Kirana Store,Bangalore,101,Milk,Dairy,Nandini Dairy,65,53,42.0,2226.0,12,Refrigerated,3
2024-01-07,KIR002,Annapurna Kirana Store,Bangalore,102,Bread (Loaf),Bakery,Britannia,53,37,38.0,1406.0,16,Ambient,2
2024-01-07,KIR002,Annapurna Kirana Store,Bangalore,103,Chicken,Meat,Licious Local Agent,38,30,240.0,7200.0,8,Ice Box,3
2024-01-07,KIR002,Annapurna Kirana Store,Bangalore,104,Eggs (Dozen),Dairy,NECC,67,36,72.0,2592.0,31,Refrigerated,3
2024-01-07,KIR002,Annapurna Kirana Store,Bangalore,105,Banana,Fruits,KR Market Supplier,22,15,25.0,375.0,7,Ambient,2
2024-01-07,KIR002,Annapurna Kirana Store,Bangalore,106,Spinach,Vegetables,Organic Farm Co-op,25,23,35.0,805.0,2,Ambient,4
2024-01-07,KIR002,Annapurna Kirana Store,Bangalore,107,Basmati Rice 5kg,Grocery,India Gate,45,41,420.0,17220.0,4,Ambient,4
2024-01-07,KIR002,Annapurna Kirana Store,Bangalore,108,Sunflower Oil 1L,Grocery,Fortune,48,32,155.0,4960.0,16,Ambient,2
2024-01-07,KIR002,Annapurna Kirana Store,Bangalore,109,Chips (Large),Snacks,Lays,36,25,20.0,500.0,11,Ambient,2
2024-01-07,KIR002,Annapurna Kirana Store,Bangalore,110,Cold Drink 500ml,Beverages,Coca-Cola,15,10,40.0,400.0,5,Refrigerated,3
2024-01-08,KIR002,Annapurna Kirana Store,Bangalore,101,Milk,Dairy,Nandini Dairy,65,41,42.0,1722.0,24,Refrigerated,2
2024-01-08,KIR002,Annapurna Kirana Store,Bangalore,102,Bread (Loaf),Bakery,Britannia,38,26,38.0,988.0,12,Ambient,3
2024-01-08,KIR002,Annapurna Kirana Store,Bangalore,103,Chicken,Meat,Licious Local Agent,69,49,240.0,11760.0,20,Ice Box,3
2024-01-08,KIR002,Annapurna Kirana Store,Bangalore,104,Eggs (Dozen),Dairy,NECC,20,17,72.0,1224.0,3,Refrigerated,3
2024-01-08,KIR002,Annapurna Kirana Store,Bangalore,105,Banana,Fruits,KR Market Supplier,47,38,25.0,950.0,9,Ambient,4
2024-01-08,KIR002,Annapurna Kirana Store,Bangalore,106,Spinach,Vegetables,Organic Farm Co-op,61,45,35.0,1575.0,16,Ambient,3
2024-01-08,KIR002,Annapurna Kirana Store,Bangalore,107,Basmati Rice 5kg,Grocery,India Gate,49,35,420.0,14700.0,14,Ambient,4
2024-01-08,KIR002,Annapurna Kirana Store,Bangalore,108,Sunflower Oil 1L,Grocery,Fortune,17,11,155.0,1705.0,6,Ambient,3
2024-01-08,KIR002,Annapurna Kirana Store,Bangalore,109,Chips (Large),Snacks,Lays,27,22,20.0,440.0,5,Ambient,4
2024-01-08,KIR002,Annapurna Kirana Store,Bangalore,110,Cold Drink 500ml,Beverages,Coca-Cola,35,21,40.0,840.0,14,Refrigerated,2
2024-01-09,KIR002,Annapurna Kirana Store,Bangalore,101,Milk,Dairy,Nandini Dairy,34,32,42.0,1344.0,2,Refrigerated,4
2024-01-09,KIR002,Annapurna Kirana Store,Bangalore,102,Bread (Loaf),Bakery,Britannia,35,24,38.0,912.0,11,Ambient,2
2024-01-09,KIR002,Annapurna Kirana Store,Bangalore,103,Chicken,Meat,Licious Local Agent,60,37,240.0,8880.0,23,Ice Box,2
2024-01-09,KIR002,Annapurna Kirana Store,Bangalore,104,Eggs (Dozen),Dairy,NECC,52,42,72.0,3024.0,10,Refrigerated,4
2024-01-09,KIR002,Annapurna Kirana Store,Bangalore,105,Banana,Fruits,KR Market Supplier,61,58,25.0,1450.0,3,Ambient,5
2024-01-09,KIR002,Annapurna Kirana Store,Bangalore,106,Spinach,Vegetables,Organic Farm Co-op,65,57,35.0,1995.0,8,Ambient,3
2024-01-09,KIR002,Annapurna Kirana Store,Bangalore,107,Basmati Rice 5kg,Grocery,India Gate,25,19,420.0,7980.0,6,Ambient,4
2024-01-09,KIR002,Annapurna Kirana Store,Bangalore,108,Sunflower Oil 1L,Grocery,Fortune,15,10,155.0,1550.0,5,Ambient,2
2024-01-09,KIR002,Annapurna Kirana Store,Bangalore,109,Chips (Large),Snacks,Lays,20,17,20.0,340.0,3,Ambient,3
2024-01-09,KIR002,Annapurna Kirana Store,Bangalore,110,Cold Drink 500ml,Beverages,Coca-Cola,33,18,40.0,720.0,15,Refrigerated,3
2024-01-10,KIR002,Annapurna Kirana Store,Bangalore,101,Milk,Dairy,Nandini Dairy,20,17,42.0,714.0,3,Refrigerated,4
2024-01-10,KIR002,Annapurna Kirana Store,Bangalore,102,Bread (Loaf),Bakery,Britannia,31,18,38.0,684.0,13,Ambient,3
2024-01-10,KIR002,Annapurna Kirana Store,Bangalore,103,Chicken,Meat,Licious Local Agent,33,28,240.0,6720.0,5,Ice Box,4
2024-01-10,KIR002,Annapurna Kirana Store,Bangalore,104,Eggs (Dozen),Dairy,NECC,25,14,72.0,1008.0,11,Refrigerated,2
2024-01-10,KIR002,Annapurna Kirana Store,Bangalore,105,Banana,Fruits,KR Market Supplier,39,36,25.0,900.0,3,Ambient,5
2024-01-10,KIR002,Annapurna Kirana Store,Bangalore,106,Spinach,Vegetables,Organic Farm Co-op,46,35,35.0,1225.0,11,Ambient,3
2024-01-10,KIR002,Annapurna Kirana Store,Bangalore,107,Basmati Rice 5kg,Grocery,India Gate,23,23,420.0,9660.0,0,Ambient,5
2024-01-10,KIR002,Annapurna Kirana Store,Bangalore,108,Sunflower Oil 1L,Grocery,Fortune,40,36,155.0,5580.0,4,Ambient,4
2024-01-10,KIR002,Annapurna Kirana Store,Bangalore,109,Chips (Large),Snacks,Lays,39,37,20.0,740.0,2,Ambient,5
2024-01-10,KIR002,Annapurna Kirana Store,Bangalore,110,Cold Drink 500ml,Beverages,Coca-Cola,21,21,40.0,840.0,0,Refrigerated,4
2024-01-11,KIR002,Annapurna Kirana Store,Bangalore,101,Milk,Dairy,Nandini Dairy,67,61,42.0,2562.0,6,Refrigerated,4
2024-01-11,KIR002,Annapurna Kirana Store,Bangalore,102,Bread (Loaf),Bakery,Britannia,42,30,38.0,1140.0,12,Ambient,4
2024-01-11,KIR002,Annapurna Kirana Store,Bangalore,103,Chicken,Meat,Licious Local Agent,59,47,240.0,11280.0,12,Ice Box,4
2024-01-11,KIR002,Annapurna Kirana Store,Bangalore,104,Eggs (Dozen),Dairy,NECC,26,15,72.0,1080.0,11,Refrigerated,2
2024-01-11,KIR002,Annapurna Kirana Store,Bangalore,105,Banana,Fruits,KR Market Supplier,63,35,25.0,875.0,28,Ambient,3
2024-01-11,KIR002,Annapurna Kirana Store,Bangalore,106,Spinach,Vegetables,Organic Farm Co-op,46,26,35.0,910.0,20,Ambient,2
2024-01-11,KIR002,Annapurna Kirana Store,Bangalore,107,Basmati Rice 5kg,Grocery,India Gate,35,35,420.0,14700.0,0,Ambient,4
2024-01-11,KIR002,Annapurna Kirana Store,Bangalore,108,Sunflower Oil 1L,Grocery,Fortune,21,15,155.0,2325.0,6,Ambient,3
2024-01-11,KIR002,Annapurna Kirana Store,Bangalore,109,Chips (Large),Snacks,Lays,47,39,20.0,780.0,8,Ambient,4
2024-01-11,KIR002,Annapurna Kirana Store,Bangalore,110,Cold Drink 500ml,Beverages,Coca-Cola,47,38,40.0,1520.0,9,Refrigerated,3
2024-01-12,KIR002,Annapurna Kirana Store,Bangalore,101,Milk,Dairy,Nandini Dairy,39,35,42.0,1470.0,4,Refrigerated,4
2024-01-12,KIR002,Annapurna Kirana Store,Bangalore,102,Bread (Loaf),Bakery,Britannia,59,51,38.0,1938.0,8,Ambient,4
2024-01-12,KIR002,Annapurna Kirana Store,Bangalore,103,Chicken,Meat,Licious Local Agent,49,44,240.0,10560.0,5,Ice Box,3
2024-01-12,KIR002,Annapurna Kirana Store,Bangalore,104,Eggs (Dozen),Dairy,NECC,64,35,72.0,2520.0,29,Refrigerated,2
2024-01-12,KIR002,Annapurna Kirana Store,Bangalore,105,Banana,Fruits,KR Market Supplier,38,35,25.0,875.0,3,Ambient,5
2024-01-12,KIR002,Annapurna Kirana Store,Bangalore,106,Spinach,Vegetables,Organic Farm Co-op,65,65,35.0,2275.0,0,Ambient,4
2024-01-12,KIR002,Annapurna Kirana Store,Bangalore,107,Basmati Rice 5kg,Grocery,India Gate,40,35,420.0,14700.0,5,Ambient,4
2024-01-12,KIR002,Annapurna Kirana Store,Bangalore,108,Sunflower Oil 1L,Grocery,Fortune,47,35,155.0,5425.0,12,Ambient,4
2024-01-12,KIR002,Annapurna Kirana Store,Bangalore,109,Chips (Large),Snacks,Lays,30,20,20.0,400.0,10,Ambient,3
2024-01-12,KIR002,Annapurna Kirana Store,Bangalore,110,Cold Drink 500ml,Beverages,Coca-Cola,29,24,40.0,960.0,5,Refrigerated,3
2024-01-13,KIR002,Annapurna Kirana Store,Bangalore,101,Milk,Dairy,Nandini Dairy,42,38,42.0,1596.0,4,Refrigerated,5
2024-01-13,KIR002,Annapurna Kirana Store,Bangalore,102,Bread (Loaf),Bakery,Britannia,53,44,38.0,1672.0,9,Ambient,3
2024-01-13,KIR002,Annapurna Kirana Store,Bangalore,103,Chicken,Meat,Licious Local Agent,32,18,240.0,4320.0,14,Ice Box,3
2024-01-13,KIR002,Annapurna Kirana Store,Bangalore,104,Eggs (Dozen),Dairy,NECC,23,22,72.0,1584.0,1,Refrigerated,4
2024-01-13,KIR002,Annapurna Kirana Store,Bangalore,105,Banana,Fruits,KR Market Supplier,65,55,25.0,1375.0,10,Ambient,4
2024-01-13,KIR002,Annapurna Kirana Store,Bangalore,106,Spinach,Vegetables,Organic Farm Co-op,39,21,35.0,735.0,18,Ambient,3
2024-01-13,KIR002,Annapurna Kirana Store,Bangalore,107,Basmati Rice 5kg,Grocery,India Gate,21,12,420.0,5040.0,9,Ambient,2
2024-01-13,KIR002,Annapurna Kirana Store,Bangalore,108,Sunflower Oil 1L,Grocery,Fortune,36,33,155.0,5115.0,3,Ambient,4
2024-01-13,KIR002,Annapurna Kirana Store,Bangalore,109,Chips (Large),Snacks,Lays,47,38,20.0,760.0,9,Ambient,3
2024-01-13,KIR002,Annapurna Kirana Store,Bangalore,110,Cold Drink 500ml,Beverages,Coca-Cola,27,15,40.0,600.0,12,Refrigerated,2
2024-01-14,KIR002,Annapurna Kirana Store,Bangalore,101,Milk,Dairy,Nandini Dairy,42,34,42.0,1428.0,8,Refrigerated,3
2024-01-14,KIR002,Annapurna Kirana Store,Bangalore,102,Bread (Loaf),Bakery,Britannia,38,37,38.0,1406.0,1,Ambient,5
2024-01-14,KIR002,Annapurna Kirana Store,Bangalore,103,Chicken,Meat,Licious Local Agent,55,51,240.0,12240.0,4,Ice Box,5
2024-01-14,KIR002,Annapurna Kirana Store,Bangalore,104,Eggs (Dozen),Dairy,NECC,22,15,72.0,1080.0,7,Refrigerated,2
2024-01-14,KIR002,Annapurna Kirana Store,Bangalore,105,Banana,Fruits,KR Market Supplier,43,35,25.0,875.0,8,Ambient,4
2024-01-14,KIR002,Annapurna Kirana Store,Bangalore,106,Spinach,Vegetables,Organic Farm Co-op,27,22,35.0,770.0,5,Ambient,3
2024-01-14,KIR002,Annapurna Kirana Store,Bangalore,107,Basmati Rice 5kg,Grocery,India Gate,40,37,420.0,15540.0,3,Ambient,4
2024-01-14,KIR002,Annapurna Kirana Store,Bangalore,108,Sunflower Oil 1L,Grocery,Fortune,41,24,155.0,3720.0,17,Ambient,2
2024-01-14,KIR002,Annapurna Kirana Store,Bangalore,109,Chips (Large),Snacks,Lays,38,26,20.0,520.0,12,Ambient,2
2024-01-14,KIR002,Annapurna Kirana Store,Bangalore,110,Cold Drink 500ml,Beverages,Coca-Cola,40,31,40.0,1240.0,9,Refrigerated,3
2024-01-15,KIR002,Annapurna Kirana Store,Bangalore,101,Milk,Dairy,Nandini Dairy,55,36,42.0,1512.0,19,Refrigerated,2
2024-01-15,KIR002,Annapurna Kirana Store,Bangalore,102,Bread (Loaf),Bakery,Britannia,42,37,38.0,1406.0,5,Ambient,4
2024-01-15,KIR002,Annapurna Kirana Store,Bangalore,103,Chicken,Meat,Licious Local Agent,37,29,240.0,6960.0,8,Ice Box,3
2024-01-15,KIR002,Annapurna Kirana Store,Bangalore,104,Eggs (Dozen),Dairy,NECC,20,19,72.0,1368.0,1,Refrigerated,5
2024-01-15,KIR002,Annapurna Kirana Store,Bangalore,105,Banana,Fruits,KR Market Supplier,41,23,25.0,575.0,18,Ambient,2
2024-01-15,KIR002,Annapurna Kirana Store,Bangalore,106,Spinach,Vegetables,Organic Farm Co-op,63,53,35.0,1855.0,10,Ambient,3
2024-01-15,KIR002,Annapurna Kirana Store,Bangalore,107,Basmati Rice 5kg,Grocery,India Gate,48,41,420.0,17220.0,7,Ambient,3
2024-01-15,KIR002,Annapurna Kirana Store,Bangalore,108,Sunflower Oil 1L,Grocery,Fortune,42,38,155.0,5890.0,4,Ambient,4
2024-01-15,KIR002,Annapurna Kirana Store,Bangalore,109,Chips (Large),Snacks,Lays,39,23,20.0,460.0,16,Ambient,2
2024-01-15,KIR002,Annapurna Kirana Store,Bangalore,110,Cold Drink 500ml,Beverages,Coca-Cola,35,33,40.0,1320.0,2,Refrigerated,4
2024-01-16,KIR002,Annapurna Kirana Store,Bangalore,101,Milk,Dairy,Nandini Dairy,45,27,42.0,1134.0,18,Refrigerated,2
2024-01-16,KIR002,Annapurna Kirana Store,Bangalore,102,Bread (Loaf),Bakery,Britannia,52,51,38.0,1938.0,1,Ambient,5
2024-01-16,KIR002,Annapurna Kirana Store,Bangalore,103,Chicken,Meat,Licious Local Agent,41,28,240.0,6720.0,13,Ice Box,3
2024-01-16,KIR002,Annapurna Kirana Store,Bangalore,104,Eggs (Dozen),Dairy,NECC,21,14,72.0,1008.0,7,Refrigerated,3
2024-01-16,KIR002,Annapurna Kirana Store,Bangalore,105,Banana,Fruits,KR Market Supplier,64,48,25.0,1200.0,16,Ambient,4
2024-01-16,KIR002,Annapurna Kirana Store,Bangalore,106,Spinach,Vegetables,Organic Farm Co-op,28,17,35.0,595.0,11,Ambient,2
2024-01-16,KIR002,Annapurna Kirana Store,Bangalore,107,Basmati Rice 5kg,Grocery,India Gate,49,38,420.0,15960.0,11,Ambient,3
2024-01-16,KIR002,Annapurna Kirana Store,Bangalore,108,Sunflower Oil 1L,Grocery,Fortune,15,14,155.0,2170.0,1,Ambient,5
2024-01-16,KIR002,Annapurna Kirana Store,Bangalore,109,Chips (Large),Snacks,Lays,47,47,20.0,940.0,0,Ambient,4
2024-01-16,KIR002,Annapurna Kirana Store,Bangalore,110,Cold Drink 500ml,Beverages,Coca-Cola,50,40,40.0,1600.0,10,Refrigerated,3
2024-01-17,KIR002,Annapurna Kirana Store,Bangalore,101,Milk,Dairy,Nandini Dairy,38,37,42.0,1554.0,1,Refrigerated,5
2024-01-17,KIR002,Annapurna Kirana Store,Bangalore,102,Bread (Loaf),Bakery,Britannia,25,24,38.0,912.0,1,Ambient,5
2024-01-17,KIR002,Annapurna Kirana Store,Bangalore,103,Chicken,Meat,Licious Local Agent,48,40,240.0,9600.0,8,Ice Box,4
2024-01-17,KIR002,Annapurna Kirana Store,Bangalore,104,Eggs (Dozen),Dairy,NECC,44,34,72.0,2448.0,10,Refrigerated,4
2024-01-17,KIR002,Annapurna Kirana Store,Bangalore,105,Banana,Fruits,KR Market Supplier,55,38,25.0,950.0,17,Ambient,3
2024-01-17,KIR002,Annapurna Kirana Store,Bangalore,106,Spinach,Vegetables,Organic Farm Co-op,20,12,35.0,420.0,8,Ambient,3
2024-01-17,KIR002,Annapurna Kirana Store,Bangalore,107,Basmati Rice 5kg,Grocery,India Gate,27,22,420.0,9240.0,5,Ambient,4
2024-01-17,KIR002,Annapurna Kirana Store,Bangalore,108,Sunflower Oil 1L,Grocery,Fortune,20,12,155.0,1860.0,8,Ambient,2
2024-01-17,KIR002,Annapurna Kirana Store,Bangalore,109,Chips (Large),Snacks,Lays,46,42,20.0,840.0,4,Ambient,5
2024-01-17,KIR002,Annapurna Kirana Store,Bangalore,110,Cold Drink 500ml,Beverages,Coca-Cola,49,46,40.0,1840.0,3,Refrigerated,5
2024-01-18,KIR002,Annapurna Kirana Store,Bangalore,101,Milk,Dairy,Nandini Dairy,52,48,42.0,2016.0,4,Refrigerated,4
2024-01-18,KIR002,Annapurna Kirana Store,Bangalore,102,Bread (Loaf),Bakery,Britannia,44,24,38.0,912.0,20,Ambient,3
2024-01-18,KIR002,Annapurna Kirana Store,Bangalore,103,Chicken,Meat,Licious Local Agent,20,19,240.0,4560.0,1,Ice Box,4
2024-01-18,KIR002,Annapurna Kirana Store,Bangalore,104,Eggs (Dozen),Dairy,NECC,63,59,72.0,4248.0,4,Refrigerated,5
2024-01-18,KIR002,Annapurna Kirana Store,Bangalore,105,Banana,Fruits,KR Market Supplier,26,21,25.0,525.0,5,Ambient,4
2024-01-18,KIR002,Annapurna Kirana Store,Bangalore,106,Spinach,Vegetables,Organic Farm Co-op,24,18,35.0,630.0,6,Ambient,4
2024-01-18,KIR002,Annapurna Kirana Store,Bangalore,107,Basmati Rice 5kg,Grocery,India Gate,24,14,420.0,5880.0,10,Ambient,3
2024-01-18,KIR002,Annapurna Kirana Store,Bangalore,108,Sunflower Oil 1L,Grocery,Fortune,32,22,155.0,3410.0,10,Ambient,3
2024-01-18,KIR002,Annapurna Kirana Store,Bangalore,109,Chips (Large),Snacks,Lays,15,10,20.0,200.0,5,Ambient,3
2024-01-18,KIR002,Annapurna Kirana Store,Bangalore,110,Cold Drink 500ml,Beverages,Coca-Cola,18,11,40.0,440.0,7,Refrigerated,2
2024-01-19,KIR002,Annapurna Kirana Store,Bangalore,101,Milk,Dairy,Nandini Dairy,55,55,42.0,2310.0,0,Refrigerated,5
2024-01-19,KIR002,Annapurna Kirana Store,Bangalore,102,Bread (Loaf),Bakery,Britannia,50,46,38.0,1748.0,4,Ambient,5
2024-01-19,KIR002,Annapurna Kirana Store,Bangalore,103,Chicken,Meat,Licious Local Agent,27,27,240.0,6480.0,0,Ice Box,5
2024-01-19,KIR002,Annapurna Kirana Store,Bangalore,104,Eggs (Dozen),Dairy,NECC,28,23,72.0,1656.0,5,Refrigerated,4
2024-01-19,KIR002,Annapurna Kirana Store,Bangalore,105,Banana,Fruits,KR Market Supplier,62,53,25.0,1325.0,9,Ambient,3
